hidden_size,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
8,Ningbo(10kTEU),"[[ 554.2806]
 [ 673.8528]
 [ 858.7274]
 [1085.5468]
 [1234.2416]
 [1191.8995]
 [1448.7362]
 [1598.6239]
 [1713.8226]
 [1823.4552]
 [2014.89  ]]","[[ 520.8    ]
 [ 706.7999 ]
 [ 934.99994]
 [1084.5999 ]
 [1042.     ]
 [1300.4    ]
 [1451.2    ]
 [1567.1    ]
 [1677.4    ]
 [1869.9999 ]
 [2063.     ]]",5.027422579852018,76.01522,"[[2233.5215]
 [2458.0852]
 [2587.8997]
 [2672.9502]]","[[2461.]
 [2635.]
 [2749.]
 [2872.]]",7.187099754810333,192.75598
8,Shanghai(10kTEU),"[[1863.2191]
 [2159.5576]
 [2463.9553]
 [2836.6868]
 [2990.313 ]
 [2740.314 ]
 [3081.7327]
 [3305.8752]
 [3372.1948]
 [3463.531 ]
 [3603.5571]]","[[1808.4   ]
 [2171.    ]
 [2615.    ]
 [2798.    ]
 [2500.2   ]
 [2906.8997]
 [3173.9   ]
 [3252.9   ]
 [3361.7   ]
 [3528.5   ]
 [3654.    ]]",4.010655934160406,168.84247,"[[3714.5974]
 [3885.2578]
 [3983.2495]
 [4054.2664]]","[[4023.0002]
 [4201.    ]
 [4330.    ]
 [4350.    ]]",7.497110217809677,317.21432
8,Singapore(10kTEU),"[[2426.9211]
 [2558.0618]
 [2670.6895]
 [2892.0024]
 [3031.52  ]
 [2746.3608]
 [2926.8467]
 [3032.9277]
 [3153.3687]
 [3218.8335]
 [3309.6394]]","[[2319.2   ]
 [2479.2   ]
 [2793.6   ]
 [2991.8   ]
 [2586.7   ]
 [2843.1   ]
 [2993.8   ]
 [3164.9   ]
 [3257.8997]
 [3386.9   ]
 [3092.    ]]",5.25236346504905,180.54271,"[[3100.6453]
 [3295.6313]
 [3501.5413]
 [3543.5916]]","[[3366.9998]
 [3660.    ]
 [3720.    ]
 [3660.    ]]",6.7298173904418945,257.38318
8,Shenzhen(10kTEU),"[[1599.3339]
 [1868.586 ]
 [2090.6033]
 [2200.8513]
 [2214.056 ]
 [2081.4229]
 [2259.9578]
 [2262.5151]
 [2278.0251]
 [2292.194 ]
 [2324.0107]]","[[1619.7]
 [1846.9]
 [2109.9]
 [2141.4]
 [1825. ]
 [2250.9]
 [2257. ]
 [2294. ]
 [2327.8]
 [2403.7]
 [2420. ]]",4.292465610937639,138.17116,"[[2321.202 ]
 [2373.1824]
 [2479.2385]
 [2396.6572]]","[[2521.]
 [2774.]
 [2577.]
 [2655.]]",8.974619209766388,263.0933
8,Hong Kong(10kTEU),"[[2231.7039]
 [2250.532 ]
 [2378.9387]
 [2431.9412]
 [2178.8774]
 [2240.5562]
 [2397.4146]
 [2235.671 ]
 [2330.2087]
 [2243.6033]
 [2229.4343]]","[[2242.7]
 [2353.9]
 [2399.8]
 [2449.4]
 [2104. ]
 [2369.9]
 [2438.4]
 [2311.7]
 [2236.7]
 [2222.6]
 [2007. ]]",3.332598642869429,95.348434,"[[2252.0906]
 [2243.182 ]
 [2254.0598]
 [2266.2507]]","[[2076.]
 [1960.]
 [1830.]
 [2007.]]",14.755064249038696,299.26474
8,Busan(10kTEU),"[[1258.1301]
 [1277.2013]
 [1287.3616]
 [1354.7354]
 [1369.8536]
 [1284.645 ]
 [1456.3534]
 [1688.3401]
 [1788.8287]
 [1863.4374]
 [1979.0812]]","[[1184.3   ]
 [1203.    ]
 [1327.    ]
 [1345.2   ]
 [1197.9999]
 [1419.4   ]
 [1618.4   ]
 [1704.6   ]
 [1768.6   ]
 [1867.8   ]
 [1945.    ]]",4.912100055000999,89.6583,"[[2094.0728]
 [2156.8462]
 [2271.6035]
 [2303.971 ]]","[[2049.]
 [2166.]
 [2199.]
 [2159.]]",3.159686177968979,84.266235
8,Guangzhou(10kTEU),"[[ 536.87524]
 [ 660.5359 ]
 [ 831.5179 ]
 [1158.0353 ]
 [1224.464  ]
 [1241.339  ]
 [1362.7675 ]
 [1515.4459 ]
 [1558.571  ]
 [1609.1066 ]
 [1724.3743 ]]","[[ 468.5   ]
 [ 660.    ]
 [1025.7   ]
 [1100.1   ]
 [1119.    ]
 [1255.    ]
 [1426.    ]
 [1474.3002]
 [1530.9   ]
 [1660.    ]
 [1722.0001]]",5.602133274078369,77.51874,"[[1918.9376]
 [2049.4626]
 [2178.2698]
 [2295.0552]]","[[2037.0001]
 [2187.    ]
 [2323.    ]
 [2319.    ]]",4.836906120181084,116.59274
8,Qingdao(10kTEU),"[[ 643.68805]
 [ 756.59515]
 [ 891.5611 ]
 [1061.8407 ]
 [1144.852  ]
 [1139.0472 ]
 [1308.5527 ]
 [1406.0767 ]
 [1549.5568 ]
 [1647.9513 ]
 [1750.5061 ]]","[[ 630.7   ]
 [ 770.2   ]
 [ 946.2   ]
 [1032.    ]
 [1026.    ]
 [1201.2   ]
 [1302.    ]
 [1450.3   ]
 [1552.    ]
 [1657.9999]
 [1747.0001]]",3.0697063966230913,47.036068,"[[1888.8584]
 [1916.9158]
 [1913.0458]
 [2179.108 ]]","[[1830.]
 [1826.]
 [2101.]
 [2200.]]",4.522711411118507,108.96474
8,Dubai(10kTEU),"[[1215.233]
 [1215.233]
 [1215.233]
 [1215.233]
 [1215.233]
 [1215.233]
 [1215.233]
 [1215.233]
 [1215.233]
 [1215.233]
 [1215.233]]","[[ 861.9]
 [ 892.3]
 [1079.1]
 [1182.7]
 [1110. ]
 [1160. ]
 [1300. ]
 [1327. ]
 [1364.1]
 [1524.9]
 [1560. ]]",15.914356708526611,217.30621,"[[1210.0463]
 [1214.9854]
 [1215.233 ]
 [1215.233 ]]","[[1537.]
 [1495.]
 [1411.]
 [1350.]]",15.964840352535248,245.86266
8,Tianjin(10kTEU),"[[ 516.423  ]
 [ 607.8882 ]
 [ 714.5821 ]
 [ 921.2841 ]
 [ 951.37024]
 [ 969.9418 ]
 [1098.0859 ]
 [1237.373  ]
 [1304.2307 ]
 [1370.16   ]
 [1467.7539 ]]","[[ 480.10004]
 [ 595.     ]
 [ 817.60004]
 [ 850.     ]
 [ 869.99994]
 [1008.     ]
 [1158.0001 ]
 [1230.     ]
 [1301.0001 ]
 [1406.1001 ]
 [1411.     ]]",5.131514505906538,55.116688,"[[1507.5898]
 [1561.4475]
 [1647.8058]
 [1768.5211]]","[[1507.    ]
 [1600.0001]
 [1730.    ]
 [1835.    ]]",2.705654129385948,56.262737
8,Rotterdam(10kTEU),"[[ 925.4487 ]
 [1000.16925]
 [1026.4845 ]
 [1044.6456 ]
 [1111.3604 ]
 [1033.0077 ]
 [1136.9343 ]
 [1191.1215 ]
 [1190.306  ]
 [1172.219  ]
 [1222.4033 ]]","[[ 930.00006]
 [ 965.50006]
 [ 990.     ]
 [1080.     ]
 [ 974.3    ]
 [1114.5    ]
 [1187.6    ]
 [1186.5    ]
 [1162.1    ]
 [1229.8    ]
 [1223.     ]]",4.021131992340088,57.152218,"[[1228.4816]
 [1326.3131]
 [1382.7832]
 [1405.2264]]","[[1373.    ]
 [1450.9999]
 [1481.9999]
 [1435.    ]]",6.972125172615051,108.58497
8,Kelang(10kTEU),"[[ 590.6266 ]
 [ 620.09045]
 [ 696.893  ]
 [ 793.731  ]
 [ 858.35516]
 [ 793.4364 ]
 [ 946.74677]
 [1018.737  ]
 [1057.7275 ]
 [1092.102  ]
 [1150.637  ]]","[[ 554.4    ]
 [ 632.6    ]
 [ 731.2    ]
 [ 797.     ]
 [ 730.9    ]
 [ 887.     ]
 [ 960.30005]
 [ 999.99994]
 [1035.     ]
 [1094.6    ]
 [1189.     ]]",4.594179716977206,52.383846,"[[1372.0093]
 [1424.062 ]
 [1285.5817]
 [1409.3301]]","[[1373.]
 [1232.]
 [1358.]
 [1324.]]",6.859798729419708,111.14679
8,Kaohsiung(10kTEU),"[[ 961.8597 ]
 [ 956.0596 ]
 [ 967.0285 ]
 [ 952.5993 ]
 [ 958.7245 ]
 [ 930.80365]
 [ 952.02954]
 [ 958.1663 ]
 [ 967.5369 ]
 [ 980.84045]
 [1036.3424 ]]","[[ 947.0999 ]
 [ 977.49994]
 [ 919.99994]
 [ 967.7    ]
 [ 858.1    ]
 [ 918.1    ]
 [ 963.5999 ]
 [ 978.1    ]
 [ 993.8    ]
 [1059.3    ]
 [1026.     ]]",3.4391278570348565,43.576244,"[[1025.0726 ]
 [1008.9728 ]
 [1024.2252 ]
 [1021.68317]]","[[1027.     ]
 [1045.     ]
 [1042.     ]
 [ 962.00006]]",2.886287122964859,35.985035
8,Dalian(10kTEU),"[[ 300.7102 ]
 [ 343.6643 ]
 [ 397.09506]
 [ 533.291  ]
 [ 520.05237]
 [ 524.7192 ]
 [ 590.4361 ]
 [ 700.72626]
 [ 858.82776]
 [1035.2158 ]
 [1044.6447 ]]","[[ 265.1    ]
 [ 321.2    ]
 [ 464.2    ]
 [ 450.29996]
 [ 455.2    ]
 [ 524.2    ]
 [ 640.     ]
 [ 806.     ]
 [ 991.2001 ]
 [1001.10004]
 [ 945.     ]]",10.524678230285645,73.56131,"[[1006.4527 ]
 [1015.02454]
 [1021.6915 ]
 [1060.7399 ]]","[[ 970.     ]
 [ 977.00006]
 [1021.     ]
 [ 653.99994]]",17.47758984565735,205.06859
8,Hanburg(10kTEU),"[[898.7824 ]
 [898.7824 ]
 [898.7824 ]
 [898.7824 ]
 [791.9373 ]
 [898.7824 ]
 [898.7824 ]
 [898.7824 ]
 [898.7824 ]
 [898.7824 ]
 [794.03925]]","[[808.8    ]
 [886.2    ]
 [936.     ]
 [973.7    ]
 [700.7    ]
 [789.99994]
 [901.39996]
 [886.3    ]
 [930.2    ]
 [973.     ]
 [882.     ]]",6.698478351939809,67.288994,"[[898.7824]
 [898.7824]
 [898.7824]
 [898.7824]]","[[886.     ]
 [873.     ]
 [929.99994]
 [870.     ]]",2.7652669697999954,25.647047
8,Antwerp(10kTEU),"[[641.00323]
 [720.6877 ]
 [822.81305]
 [850.87445]
 [850.0314 ]
 [853.72876]
 [850.5662 ]
 [850.0314 ]
 [850.1159 ]
 [850.266  ]
 [963.91095]]","[[648.2   ]
 [701.9   ]
 [835.5   ]
 [866.4   ]
 [730.9001]
 [846.8   ]
 [866.4   ]
 [863.3   ]
 [857.8   ]
 [897.8   ]
 [965.    ]]",3.080230951309204,40.219307,"[[1369.773 ]
 [1526.2789]
 [1774.3987]
 [1774.3987]]","[[1045.]
 [1110.]
 [1110.]
 [1204.]]",43.953099846839905,511.25967
8,Xiamen(10kTEU),"[[338.81015]
 [386.58264]
 [455.39526]
 [517.1946 ]
 [558.5634 ]
 [522.58167]
 [638.4553 ]
 [702.4907 ]
 [778.82495]
 [860.8513 ]
 [918.1784 ]]","[[334.2    ]
 [401.9    ]
 [462.70004]
 [503.39996]
 [468.00003]
 [582.     ]
 [645.     ]
 [720.1    ]
 [800.8    ]
 [857.2001 ]
 [918.     ]]",4.1563437743620435,34.484486,"[[1013.764 ]
 [1084.1295]
 [1049.4037]
 [1151.7535]]","[[1038.     ]
 [ 999.99994]
 [1112.     ]
 [1141.     ]]",4.329866170883179,54.081207
